identifier,entityName,attributeName,attributeDefinition,attributeLabel,attributeUnit,ECSO_,who,notes
doi:10.18739/A24S23,AMF_CA-Qfo_BASE_HH_1-1.csv,TIMESTAMP_START,ISO timestamp start of averaging period (up to a 12-digit integer as specified by the data's temporal resolution),,,00002044,SC,
doi:10.18739/A27C6D,AMF_US-Ivo_BASE_HH_2-1.csv,TIMESTAMP_START,ISO timestamp start of averaging period (up to a 12-digit integer as specified by the data's temporal resolution),,,00002044,SC,
doi:10.18739/A2858D,AMF_CA-Ojp_BASE_HH_1-1.csv,TIMESTAMP_START,ISO timestamp start of averaging period (up to a 12-digit integer as specified by the data's temporal resolution),,,00002044,SC,
doi:10.18739/A2C289,AMF_US-ICt_BASE_HH_2-1.csv,TIMESTAMP_START,ISO timestamp start of averaging period (up to a 12-digit integer as specified by the data's temporal resolution),,,00002044,SC,
doi:10.18739/A2CZ88,AMF_CA-Oas_BASE_HH_1-1.csv,TIMESTAMP_START,ISO timestamp start of averaging period (up to a 12-digit integer as specified by the data's temporal resolution),,,00002044,SC,
doi:10.18739/A2H29X,AMF_US-ICs_BASE_HH_2-1.csv,TIMESTAMP_START,ISO timestamp start of averaging period (up to a 12-digit integer as specified by the data's temporal resolution),,,00002044,SC,
doi:10.18739/A2HW0S,AMF_CA-Man_BASE_HH_2-1.csv,TIMESTAMP_START,ISO timestamp start of averaging period (up to a 12-digit integer as specified by the data's temporal resolution),,,00002044,SC,
doi:10.18739/A2MW0Q,AMF_US-ICh_BASE_HH_2-1.csv,TIMESTAMP_START,ISO timestamp start of averaging period (up to a 12-digit integer as specified by the data's temporal resolution),,,00002044,SC,
doi:10.18739/A2NS1C,AMF_CA-Gro_BASE_HH_1-1.csv,TIMESTAMP_START,ISO timestamp start of averaging period (up to a 12-digit integer as specified by the data's temporal resolution),,,00002044,SC,
doi:10.18739/A2RS2P,AMF_US-EML_BASE_HH_1-4.csv,TIMESTAMP_START,ISO timestamp start of averaging period (up to a 12-digit integer as specified by the data's temporal resolution),,,00002044,SC,
doi:10.18739/A2WK4M,AMF_US-Brw_BASE_HH_2-1.csv,TIMESTAMP_START,ISO timestamp start of averaging period (up to a 12-digit integer as specified by the data's temporal resolution),,,00002044,SC,
doi:10.18739/A2RS0X,nmhc_2017.txt,starttime,Start time of measurement in decimal year,,nominalYear,00002044,SC,
doi:10.18739/A2538S,Bio_and_Chem_vs_Depth.csv,Start_Time,The time the water sample started being taken. In Alaska Daylight Time (AKDT),,,00002044,SC,
doi:10.18739/A2CD5M,ASDN_Lemming_nests.csv,End_time,Time at which the survey ended,,,00002044,SC,
doi:10.18739/A2CD5M,ASDN_Lemming_counts.csv,End_time,Time at which the survey ended,,,00002044,SC,
doi:10.18739/A2CD5M,ASDN_Lemming_trap.csv,prebait start time,Time when the prebait started,,,00002044,SC,
doi:10.18739/A2129K,AMF_US-Atq_BASE_HH_1-1.csv,TIMESTAMP_END,ISO timestamp end of averaging period (up to a 12-digit integer as specified by the data's temporal resolution),,,00002045,SC,
doi:10.18739/A24S23,AMF_CA-Qfo_BASE_HH_1-1.csv,TIMESTAMP_END,ISO timestamp end of averaging period (up to a 12-digit integer as specified by the data's temporal resolution),,,00002045,SC,
doi:10.18739/A27C6D,AMF_US-Ivo_BASE_HH_2-1.csv,TIMESTAMP_END,ISO timestamp end of averaging period (up to a 12-digit integer as specified by the data's temporal resolution),,,00002045,SC,
